Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
1,HARD LION,/at/100919/hard-lion,Salih Çelik,60,1900,Çim,1.58.93,58,1900,Çim,Ankara,Ankara
1,BALDWIN,/at/100454/baldwin,H.Çizik,59,1600,Çim,1.35.32,55.5,1900,Çim,Ankara,Ankara
1,ÜNLÜ BOMBA,/at/101045/unlu-bomba,F.S.M.Sansar,57,1400,Kum,1.28.68,56.1,1900,Çim,Ankara,Ankara
1,FAST TANGO,/at/100055/fast-tango,U.Temur,53.5,1900,Çim,2.02.91,58,1900,Çim,Ankara,Ankara
1,İPHİKLOS,/at/101182/iphiklos,M.G.Arslan,53.5,1400,Kum,1.31.82,60.5,1900,Çim,Ankara,Kocaeli
1,SAMURAI CEK,/at/99314/samurai-cek,E.Çizik,53.5,1900,Çim,2.00.23,58,1900,Çim,Ankara,Ankara
2,DARK VEYRON,/at/102449/dark-veyron,M.S.Çelik,59,1000,Çim,0.58.64,57,1200,Çim,Ankara,Ankara
2,GRENTLY WINS,/at/101628/grently-wins,Ahmet Çelik,59,1400,Kum,1.34.03,53,1200,Çim,Ankara,Ankara
2,MARCO KING,/at/102221/marco-king,Müs.Çelik,59,1300,Çim,1.18.86,54,1200,Çim,Ankara,Ankara
2,HUAYRA,/at/103469/huayra,M.Akyavuz,57,1200,Çim,1.13.34,52,1200,Çim,Ankara,İstanbul
2,QUİEREME,/at/102194/quiereme,M.A.Solmaz,52,1200,Çim,1.13.91,52,1200,Çim,Ankara,İstanbul
3,GÜNTÜRK,/at/96810/gunturk,M.Kıyak,56,2200,Çim,2.18.81,54.1,2200,Kum,Ankara,Ankara
3,UYANIŞ ANADOLU,/at/95527/uyanis-anadolu,A.Kurşun,60,2200,Çim,2.19.11,57,2200,Kum,Ankara,Ankara
3,DEMEDİ DEME,/at/94538/demedi-deme,M.S.Çelik,57,2000,Kum,2.14.39,55,2200,Kum,Ankara,Adana
3,GHOST CAT,/at/92133/ghost-cat,Müs.Çelik,57,2000,Kum,2.13.56,54.4,2200,Kum,Ankara,Ankara
3,KÖKLÜ XALO,/at/92136/koklu-xalo,Ahmet Çelik,57,2000,Kum,2.11.83,54,2200,Kum,Ankara,Ankara
3,BELLINZONA,/at/99038/bellinzona,U.Temur,55,2100,Sentetik,2.22.59,52.6,2200,Kum,Ankara,İstanbul
4,ASİLASLAN,/at/92966/asilaslan,F.S.M.Sansar,61,1600,Çim,1.45.90,56.3,2200,Çim,Ankara,Ankara
4,HAYATIMINCANI,/at/94986/hayatimincani,M.Kıyak,60,2400,Çim,2.52.42,61,2200,Çim,Ankara,Ankara
4,FERMANDER,/at/93215/fermander,İs.Yıldırım,60.5,1500,Çim,1.39.70,56.2,2200,Çim,Ankara,Bursa
4,PUSAT BEYİ,/at/97897/pusat-beyi,A.Kurşun,59,2000,Kum,2.38.26,61,2200,Çim,Ankara,Ankara
4,ZEYBEK AĞA,/at/93304/zeybek-aga,Salih Çelik,56.5,1200,Sentetik,1.22.09,57.3,2200,Çim,Ankara,İstanbul
4,ÇÖL PAŞA,/at/100018/col-pasa,M.Keskin,54,1900,Çim,2.11.61,58,2200,Çim,Ankara,Adana
4,SEYRET BENİ,/at/100411/seyret-beni,M.Akyavuz,54,1500,Sentetik,1.41.30,60.5,2200,Çim,Ankara,İstanbul
4,MİR KARTALI,/at/89519/mir-kartali,H.Çizik,53.5,1400,Çim,1.33.42,58,2200,Çim,Ankara,Ankara
4,ODHAN TAY,/at/97543/odhan-tay,E.Çizik,50,1900,Çim,2.10.78,58,2200,Çim,Ankara,Ankara
5,ALŞUBATHAN,/at/101799/alsubathan,E.Çizik,59,1400,Çim,1.34.28,57,1600,Çim,Ankara,Ankara
5,ÖMER EYÜP,/at/102243/omer-eyup,Ahmet Çelik,59,1400,Çim,1.36.55,59,1600,Çim,Ankara,Ankara
5,CESUR ALTIN,/at/102799/cesur-altin,M.Keskin,57,1300,Kum,1.38.74,57,1600,Çim,Ankara,Ankara
5,DODOKAN,/at/102810/dodokan,M.G.Arslan,57,1300,Kum,1.36.47,54,1600,Çim,Ankara,Ankara
5,KASIRGA BEY,/at/102992/kasirga-bey,F.S.M.Sansar,54,1300,Çim,1.27.73,57,1600,Çim,Ankara,Ankara
5,SENUBEN,/at/102713/senuben,H.Parıldar,57,1300,Kum,1.44.16,54,1600,Çim,Ankara,Ankara
5,SERİNTEPE,/at/104509/serintepe,M.Akyavuz,57,1200,Çim,1.20.34,57,1600,Çim,Ankara,İzmir
5,SERTBAKAN,/at/102027/sertbakan,Salih Çelik,55,,,,,1600,Çim,Ankara,
5,TANOBA,/at/102803/tanoba,M.N.Sunkar,57,1300,Kum,1.34.03,57,1600,Çim,Ankara,Ankara
5,UMUDUM DENİZ,/at/101771/umudum-deniz,H.Çizik,57,1300,Kum,1.37.04,57,1600,Çim,Ankara,Ankara
5,YILDIZTEPE,/at/102029/yildiztepe,M.S.Çelik,57,1000,Çim,1.06.85,57,1600,Çim,Ankara,Ankara
5,SEÇİLKIZ,/at/104864/secilkiz,A.Kurşun,55,1200,Çim,1.22.99,57.2,1600,Çim,Ankara,İstanbul
6,SIRIUS BLACK,/at/87492/sirius-black,A.Kurşun,61,1500,Kum,1.33.75,57,1400,Kum,Ankara,Ankara
6,HALLELUKA,/at/92901/halleluka,Ahmet Çelik,60.5,1500,Kum,1.33.48,60,1400,Kum,Ankara,Ankara
6,I HAVE A DREAM,/at/99174/i-have-a-dream,M.S.Çelik,56.5,1500,Sentetik,1.31.57,60,1400,Kum,Ankara,İstanbul
6,RAİNY SİOL,/at/98993/rainy-siol,M.A.Solmaz,55.5,1500,Kum,1.35.00,59,1400,Kum,Ankara,Ankara
6,DOĞANTÜRKBEYİ,/at/99415/doganturkbeyi,E.Çizik,54.5,1500,Sentetik,1.31.15,58,1400,Kum,Ankara,İstanbul
6,BLACK PABLO,/at/100410/black-pablo,Müs.Çelik,54,1500,Kum,1.33.46,59.5,1400,Kum,Ankara,Ankara
7,FROU FROU,/at/100127/frou-frou,Ahmet Çelik,61,1500,Kum,1.34.94,59,2200,Kum,Ankara,Ankara
7,GLITTER WINGS,/at/97774/glitter-wings,Salih Çelik,58,1500,Kum,1.34.42,60,2200,Kum,Ankara,Ankara
7,KING OF MUNZUR,/at/100443/king-of-munzur,F.Çetin,58,2200,Kum,2.24.33,52,2200,Kum,Ankara,Ankara
7,SECRET MAN,/at/99501/secret-man,M.Akyavuz,58,1500,Kum,1.38.86,56.5,2200,Kum,Ankara,Ankara
7,BUMMER GIRL,/at/98858/bummer-girl,F.S.M.Sansar,54,1900,Çim,2.05.87,55.1,2200,Kum,Ankara,Ankara
8,DİLAN KIZ,/at/89077/dilan-kiz,B.Akçay,60,1400,Çim,1.33.12,61.5,1200,Çim,Ankara,İstanbul
8,KÜÇÜK MİRZA,/at/97327/kucuk-mirza,F.S.M.Sansar,57,1400,Çim,1.33.19,56.1,1200,Çim,Ankara,Ankara
8,ALDA GÖR,/at/89619/alda-gor,Müs.Çelik,59,1600,Çim,1.51.05,60,1200,Çim,Ankara,Ankara
8,ERKŞAN,/at/93130/erksan,Salih Çelik,56,2200,Çim,2.34.54,60,1200,Çim,Ankara,Ankara
8,ÖZTEKBEY,/at/94668/oztekbey,M.S.Çelik,59,1600,Çim,1.46.61,60,1200,Çim,Ankara,İstanbul
8,BENİM SULTANIM,/at/98608/benim-sultanim,Ahmet Çelik,56,2000,Çim,2.20.49,58,1200,Çim,Ankara,Bursa
8,CANYURT,/at/89700/canyurt,M.Kıyak,53,1200,Kum,1.32.37,57,1200,Çim,Ankara,Ankara
9,BAŞ DAĞYUDAN,/at/102032/bas-dagyudan,H.Çizik,59,1400,Çim,1.35.35,59,1600,Çim,Ankara,Ankara
9,FERAT,/at/102475/ferat,M.N.Sunkar,59,1300,Kum,1.33.29,57,1600,Çim,Ankara,Ankara
9,SER DAĞYUDAN,/at/102071/ser-dagyudan,F.Çetin,58,1400,Çim,1.53.79,59,1600,Çim,Ankara,Ankara
9,AKSU KAAN,/at/101629/aksu-kaan,M.A.Solmaz,57,1300,Kum,1.40.20,57,1600,Çim,Ankara,Ankara
9,AYDÜMEN,/at/102467/aydumen,M.Keskin,57,1300,Kum,1.36.28,57,1600,Çim,Ankara,Ankara
9,AZAT BABA,/at/102111/azat-baba,M.G.Arslan,57,1300,Kum,1.42.70,54,1600,Çim,Ankara,Ankara
9,DORU REİS,/at/101551/doru-reis,H.Parıldar,57,1200,Kum,1.30.26,54.5,1600,Çim,Ankara,Ankara
9,GÜNMETE,/at/101888/gunmete,M.S.Çelik,57,1300,Kum,1.34.37,57,1600,Çim,Ankara,Ankara
9,HAMURKAR BİR,/at/104339/hamurkar-bir,Salih Çelik,55,1200,Çim,1.21.56,57.1,1600,Çim,Ankara,Ankara
9,METİNCİM,/at/103823/metincim,A.Kurşun,57,1300,Kum,1.33.34,57.1,1600,Çim,Ankara,Ankara
9,TABİP BEY,/at/102030/tabip-bey,M.Akyavuz,57,1400,Kum,1.41.69,57,1600,Çim,Ankara,Kocaeli
9,VETCİHAN,/at/104201/vetcihan,M.Kıyak,53,1300,Kum,1.32.38,57,1600,Çim,Ankara,Ankara
9,YERDENİZ,/at/102922/yerdeniz,E.Çizik,58,1400,Kum,1.42.39,58,1600,Çim,Ankara,Kocaeli
